"Name","Location","Type","Namespace"
"FUN_806ffef4","806ffef4","Function","Global"
"FUN_80700030","80700030","Function","Global"
"populateSoundGroupList","807000d4","Function","Global"
"FUN_8070010c","8070010c","Function","Global"
"FUN_80700184","80700184","Function","Global"
"loadState","807001a4","Function","EGG::SoundHeap"
"loadSoundGroupsAsync","80700230","Function","Global"
"loadSoundGroups","807002bc","Function","Global"
"FUN_80700474","80700474","Function","Global"
"FUN_80700578","80700578","Function","Global"
"__dt","807005b8","Function","RaceSoundActor"
"FUN_8070062c","8070062c","Function","Global"
"FUN_807006b4","807006b4","Function","Global"
"FUN_80700754","80700754","Function","Global"
"FUN_807007cc","807007cc","Function","Global"
"SetPosition","80700814","Thunk Function","nw4r::snd::Sound3DActor"
"FUN_80700818","80700818","Function","Global"
"ObjSoundActorType2","80700894","Function","Global"
"FUN_807009bc","807009bc","Function","Global"
"FUN_80700a80","80700a80","Function","Global"
"FUN_80700ac8","80700ac8","Function","Global"
"FUN_80700bdc","80700bdc","Function","Global"
"FUN_80700d4c","80700d4c","Function","Global"
"FUN_80700ea8","80700ea8","Function","Global"
"ObjSoundActor3Base","80701018","Function","Global"
"FUN_80701140","80701140","Function","Global"
"FUN_80701154","80701154","Function","Global"
"FUN_807011c8","807011c8","Function","Global"
"FUN_807011e0","807011e0","Function","Global"
"FUN_80701390","80701390","Function","Global"
"FUN_80701394","80701394","Function","Global"
"FUN_80701398","80701398","Function","Global"
"FUN_807013a0","807013a0","Function","Global"
"FUN_807013a8","807013a8","Function","Global"
"FUN_807014e8","807014e8","Function","Global"
"FUN_807016fc","807016fc","Function","Global"
"FUN_80701794","80701794","Function","Global"
"startSound","807017f8","Function","RaceSoundActor"
"startSound","80701884","Function","RaceSoundActor"
"startSoundByName","80701910","Function","RaceSoundActor"
"stopThenStartSound","807019d0","Function","RaceSoundActor"
"stopThenStartSound","80701a64","Function","RaceSoundActor"
"stopThenStartSoundByName","80701af8","Function","RaceSoundActor"
"holdSound","80701bb4","Function","RaceSoundActor"
"holdSound","80701c9c","Function","RaceSoundActor"
"holdSoundByName","80701d84","Function","RaceSoundActor"
"holdSound","80701ea0","Function","RaceSoundActor"
"holdSound","80701f08","Function","RaceSoundActor"
"holdSoundByName","80701f70","Function","RaceSoundActor"
"prepareSound","80702014","Function","RaceSoundActor"
"prepareSound","807020a0","Function","RaceSoundActor"
"prepareSoundByName","8070212c","Function","RaceSoundActor"
"stopThenPrepareSound","807021ec","Function","RaceSoundActor"
"stopThenPrepareSound","80702280","Function","RaceSoundActor"
"stopThenPrepareSoundByName","80702314","Function","RaceSoundActor"
"FUN_807023d0","807023d0","Function","Global"
"FUN_80702498","80702498","Function","Global"
"thunk_detail_UpdateAmbientArg","80702570","Function","RaceSoundActor"
"FUN_80702578","80702578","Function","Global"
"FUN_80702678","80702678","Function","Global"
"FUN_807026cc","807026cc","Function","Global"
"FUN_80702714","80702714","Function","Global"
"FUN_807027d0","807027d0","Function","Global"
"FUN_80702828","80702828","Function","Global"
"getMaxSoundPriorityIdx","80702848","Function","Global"
"FUN_807028e4","807028e4","Function","Global"
"FUN_8070296c","8070296c","Function","Global"
"FUN_80702970","80702970","Function","Global"
"FUN_807029cc","807029cc","Function","Global"
"FUN_807029d4","807029d4","Function","Global"
"FUN_807029e0","807029e0","Function","Global"
"ObjSoundActorType3","807029f0","Function","Global"
"FUN_80702a44","80702a44","Function","Global"
"FUN_80702a84","80702a84","Function","Global"
"FUN_80702b00","80702b00","Function","Global"
"FUN_807030a4","807030a4","Function","Global"
"FUN_807034c4","807034c4","Function","Global"
"FUN_807036cc","807036cc","Function","Global"
"FUN_80703ac8","80703ac8","Function","Global"
"FUN_80703fb0","80703fb0","Function","Global"
"ItemSoundActor","807040dc","Function","Global"
"FUN_80704184","80704184","Function","Global"
"FUN_807041c4","807041c4","Function","Global"
"FUN_80704238","80704238","Function","Global"
"FUN_80704364","80704364","Function","Global"
"FUN_80704594","80704594","Function","Global"
"FUN_807046a0","807046a0","Function","Global"
"FUN_8070482c","8070482c","Function","Global"
"FUN_80704998","80704998","Function","Global"
"FUN_80704a94","80704a94","Function","Global"
"FUN_80704b7c","80704b7c","Function","Global"
"GessoSoundActor","80704bd4","Function","Global"
"FUN_80704c7c","80704c7c","Function","Global"
"FUN_80704cf0","80704cf0","Function","Global"
"FUN_80704d84","80704d84","Function","Global"
"SetPosition","80704d94","Thunk Function","nw4r::snd::Sound3DActor"
"FUN_80704d98","80704d98","Function","Global"
"FUN_80704e90","80704e90","Function","Global"
"FUN_80704f84","80704f84","Function","Global"
"FUN_80705040","80705040","Function","Global"
"FUN_8070516c","8070516c","Function","Global"
"FUN_807051e0","807051e0","Function","Global"
"FUN_80705260","80705260","Function","Global"
"FUN_807052d4","807052d4","Function","Global"
"FUN_80705354","80705354","Function","Global"
"FUN_80705404","80705404","Function","Global"
"FUN_80705468","80705468","Function","Global"
"FUN_807054cc","807054cc","Function","Global"
"FUN_80705540","80705540","Function","Global"
"FUN_807055c0","807055c0","Function","Global"
"FUN_80705634","80705634","Function","Global"
"FUN_807056b4","807056b4","Function","Global"
"FUN_80705728","80705728","Function","Global"
"FUN_8070578c","8070578c","Function","Global"
"FUN_80705818","80705818","Function","Global"
"FUN_807058a4","807058a4","Function","Global"
"FUN_80705964","80705964","Function","Global"
"FUN_807059f8","807059f8","Function","Global"
"FUN_80705a8c","80705a8c","Function","Global"
"FUN_80705b48","80705b48","Function","Global"
"FUN_80705c30","80705c30","Function","Global"
"FUN_80705d18","80705d18","Function","Global"
"FUN_80705e34","80705e34","Function","Global"
"FUN_80705e9c","80705e9c","Function","Global"
"FUN_80705f04","80705f04","Function","Global"
